種牡馬名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,2歳,3歳,4歳,5歳以上,距離短縮,距離延長
シルバーステート,2587,-2374,-752,-97,277,-176,-524,1278,-127,-63,368,113,-2009,2039,624,-101,94,-670,756,19,219,-1281,109,284,-163,-462,874,-664,-207,1907
スクリーンヒーロー,2284,-506,91,804,841,366,483,1333,96,57,414,359,389,675,1,262,-150,70,921,22,-291,497,967,1495,-67,1342,432,-202,1114,1171
スズカコーズウェイ,-157,1141,0,674,478,0,623,490,-62,-68,9,130,-170,237,261,221,106,-125,-79,240,-47,550,238,350,69,500,32,229,229,207
ストロングリターン,-559,-676,-183,-375,-647,-165,-535,-415,-95,-149,40,-389,-389,-353,10,-124,-401,586,54,-240,-328,13,-1013,483,53,-484,-541,-39,-123,418
スワーヴリチャード,-1872,-1118,934,-2309,-216,226,-923,-2071,-225,476,-678,-103,-466,-312,657,-189,-933,-412,-64,-588,-866,1545,-1066,-459,-435,-1607,536,,101,-59
ダイワメジャー,-573,-1512,-290,-638,-1203,-430,-1187,-693,-143,-343,-223,-82,-935,-113,-285,-373,-84,75,912,-1043,-162,-896,-97,-863,-208,-466,-228,-1477,-531,-1397
ダノンキングリー,-130,661,,595,-118,,218,235,-157,,-315,449,-215,277,-69,-97,230,,488,594,346,113,68,-79,454,,,,128,-103
ダノンスマッシュ,-731,-1088,,-677,-1120,,-435,-1181,-472,-236,-472,783,-491,412,-474,-381,-630,-68,-513,-551,-140,-1092,-236,-157,-1598,,,,-785,-130
ダノンバラード,224,15,82,-184,608,-5,1285,-594,609,778,-46,90,997,-2889,102,59,267,338,297,33,859,-367,-97,-196,524,221,-420,-394,205,66
ダノンプレミアム,1702,-1053,,2261,-1725,,-105,987,-197,246,-236,48,-387,51,519,615,282,93,457,-787,342,248,158,-79,871,,,,-284,-998
ダノンレジェンド,-177,3873,-394,3216,659,-268,791,3060,-314,98,253,-399,746,829,299,924,850,115,-23,1003,1401,-66,1676,58,303,1930,1296,-301,272,1042
タリスマニック,-703,-183,-39,-34,-463,-177,-187,-459,104,-29,175,212,-586,-870,41,-287,-245,102,-288,-313,-942,113,-704,-240,-1120,81,-11,-1033,821,-1080
タワーオブロンドン,-1035,-921,336,-1986,234,395,-586,-1795,-68,-442,-590,185,514,913,-693,1223,-1606,-917,-56,-389,-1702,448,-383,416,-110,-1980,,,-47,-816
ダンカーク,-604,-40,-67,-357,-147,80,-65,-120,-6,-21,-386,8,-428,296,124,579,-490,-276,-325,153,62,200,-531,-62,-68,607,-883,-655,-79,-576
ディープインパクト,85,-297,-105,-11,-147,-258,-16,-324,-148,-97,0,-92,-89,290,88,105,-175,-143,-8,-26,0,-59,-375,155,0,0,0,-285,-35,-331
ディープブリランテ,-410,-830,88,-433,-748,136,-1161,-46,22,21,-15,-328,-530,763,-130,-652,-149,-115,-58,-411,-108,-524,-309,-73,-107,-307,-1,-880,-301,-286
ディーマジェスティ,-410,1746,124,560,750,222,298,984,-145,-95,266,608,139,612,-12,-226,389,-164,-427,1439,-234,1859,-79,220,-16,1911,-139,-1276,404,65
ディスクリートキャット,1987,958,-96,2587,18,-156,263,2361,-122,140,9,-57,65,812,331,866,205,378,991,1200,50,657,220,-10,105,51,499,2333,2208,-1351
デクラレーションオブウォー,1254,-1216,74,554,-1096,1293,-642,1075,207,-651,-608,306,-581,676,-799,508,793,819,769,907,156,-138,323,571,165,750,-594,-645,-130,-1325
トゥザグローリー,-112,315,-100,-68,190,-123,418,-273,0,0,-69,598,-46,-7,88,-49,-100,-279,-23,-145,0,19,-59,-504,0,-144,151,-313,-114,-17
トゥザワールド,94,83,52,-167,246,132,98,0,-70,-35,-90,90,-248,-139,302,-175,301,58,4,-233,68,41,338,-71,201,-320,473,-212,335,57
ドゥラメンテ,-1443,-2098,-150,-2917,-1524,930,-1116,-2501,338,52,295,-26,-358,-506,-1028,-1416,-966,-594,-53,-542,5,-696,-2106,-137,0,-559,-518,-4534,-1889,-1055
トーセンジョーダン,-86,556,0,120,4,127,650,-108,0,0,-58,36,342,-15,279,-127,95,17,-106,255,0,-76,173,376,0,-17,0,876,-65,547
トーセンラー,1011,-120,0,587,-265,611,175,835,167,-17,580,52,-131,312,123,-4,-40,-21,75,-48,212,-180,55,321,-30,335,206,-209,-45,1040
トビーズコーナー,464,1511,0,448,1931,0,1190,1122,-79,-155,116,515,574,222,-164,349,-125,144,-121,1065,301,395,1149,95,-19,1203,357,1102,-38,732
ドレフォン,-679,5315,-551,2469,1879,-331,1428,3246,453,948,-350,-1034,1128,-848,1006,1753,1087,-170,-777,1232,-2064,1595,3237,610,-624,2869,1520,-526,2395,-740
ナダル,-949,1069,,-1039,1034,-157,546,-791,-763,31,-468,332,-555,239,964,89,-418,-2,-35,-473,50,-99,268,27,286,-1027,,,-388,1253
ニューイヤーズデイ,985,643,-236,1193,261,205,1023,630,-388,-263,-868,789,-734,442,796,-141,1958,-59,1271,575,1240,190,189,-505,961,-135,63,,-231,-982
ネオユニヴァース,-52,-136,-159,-410,43,-176,-142,-107,0,0,-57,0,23,-92,-90,-7,-191,62,-6,-139,0,-241,-216,45,0,0,-63,-96,3,-124
ネロ,2035,-298,-79,1132,216,118,404,1051,-65,144,-34,4,206,-31,448,497,60,845,886,-178,-445,508,805,-209,191,56,31,1346,269,212
ノヴェリスト,288,-96,-5,-365,221,168,-120,483,334,587,-89,-35,191,-185,9,-66,68,-464,320,-13,208,-947,576,9,-128,242,81,87,-336,-105
ノーブルミッション,-4229,-3755,-157,-3213,-4435,-472,-2824,-5027,-434,-551,760,-1226,-1607,-1625,33,-1182,-966,-914,-1889,-751,-938,-5484,-834,-236,-1786,-5173,,,-489,-2218
ハーツクライ,-1744,-82,-141,-523,-771,-861,-694,-1225,77,96,-21,-104,-441,-259,-33,-757,-902,48,-520,11,0,-226,-1024,-493,0,0,14,-1123,219,-1117
ハービンジャー,-1765,-1294,182,-1010,-1583,-251,-2402,-403,23,42,9,-841,-1145,-98,-310,-333,129,16,-626,84,240,-1622,-961,110,-176,-654,-236,-2451,-2569,360
パイロ,-338,1918,-51,250,1397,-118,146,1474,321,207,140,-187,678,-203,-392,1071,461,-435,105,948,315,509,767,-132,-302,1768,419,-992,-101,825
ハクサンムーン,494,44,,328,-74,,-51,506,-14,-79,-12,-254,151,-10,-132,139,147,-4,-10,130,-59,40,194,348,-131,-64,229,567,277,-531
バゴ,-1037,-703,-247,-598,-913,-851,-773,-965,215,745,-190,-455,-945,-1110,544,-7,-617,-283,117,-298,-195,-2002,349,-195,-274,-2389,96,410,-330,-1367
パドトロワ,-348,-868,0,-1054,-301,0,-838,-568,-157,240,-213,-413,-472,-335,-132,110,-150,0,181,-330,112,-434,-1001,-1117,-12,-1013,-116,-194,-315,-541
ビーチパトロール,595,-1299,86,-1103,767,-256,29,-224,-74,-211,-195,87,-391,-81,270,222,-34,-577,376,-971,-456,-245,1117,-464,-818,492,-100,-629,731,-798
ビッグアーサー,1036,-1290,-46,-260,-146,-97,-1110,286,-65,171,169,-46,-1388,36,-51,230,-713,353,835,-41,74,-951,1234,-124,-53,-1681,-19,2478,-693,-1156
ファインニードル,1382,-664,,962,245,0,-19,1299,-71,371,-151,-129,220,140,-371,22,288,723,928,-130,284,453,-171,135,-67,594,414,-577,-420,113
フィエールマン,2095,-35,,1282,876,69,744,1515,164,-797,100,358,-45,2893,403,-640,-452,88,-271,-1475,567,471,1210,-20,-94,2611,,,-760,1119
フィレンツェファイア,-1385,244,,-195,-474,,788,-1095,-79,209,-394,-157,1202,-944,-630,-243,518,-394,-472,371,287,-215,-394,-394,-745,,,,-46,-367
フォーウィールドライブ,1082,1931,,3272,49,,2628,67,373,183,79,1232,423,479,1015,-139,-818,-908,-233,-423,-263,2466,1041,-172,1492,896,,,1319,2028
ブラックタイド,-912,1095,-274,-744,641,-397,-299,384,-293,269,527,-277,-374,487,253,-195,84,-637,-312,707,-83,351,-595,-239,-60,295,-334,-282,-45,-233
フリオーソ,-79,-68,-44,83,-259,-46,10,-213,281,-135,-187,-124,-161,-342,194,-18,321,62,-79,68,65,-195,-172,174,-38,-114,-139,692,-65,-138
ブリックスアンドモルタル,-744,-1580,-30,-1603,326,-652,-255,-2201,-10,-699,48,291,-438,-392,112,-1292,1156,-765,396,183,-1144,718,-271,-1011,-310,-27,-2453,,1568,-2854
ベストウォーリア,342,592,-157,398,-109,-157,-779,968,156,-67,-63,-208,-517,366,-247,201,369,-31,272,203,-29,-370,873,828,-221,-30,1115,-1023,368,-20
ヘニーヒューズ,-417,-615,-767,-1117,390,-695,-190,-752,113,8,246,-423,288,-419,-34,-735,-593,259,-33,-317,25,303,-750,-739,212,228,-558,-2368,829,-658
ベンバトル,1574,-383,,435,727,,1235,130,,67,-71,-78,1260,238,168,-944,160,212,-35,617,-25,1307,45,-315,1180,,,,286,-218
ヘンリーバローズ,1068,-98,-79,345,598,-79,-976,928,150,112,-266,-315,-319,67,-312,269,95,115,130,-78,1114,-173,-82,238,1446,-53,-315,,220,275
ポエティックフレア,265,4,,-78,330,,2,266,131,,146,-361,477,34,-157,186,-252,-44,26,90,637,-96,-157,-190,277,,,,-122,103
ホークビル,307,-982,-79,9,297,-70,-298,175,32,109,-207,94,-870,-390,22,-236,177,0,346,-768,-248,96,871,0,-168,299,-141,,-288,445
ホッコータルマエ,114,1620,-545,-7,1511,-441,1684,-5,484,-64,-449,345,773,1170,588,-1322,-454,174,0,1764,-236,1436,-621,137,488,1329,-1406,626,1178,842
マインドユアビスケッツ,561,-290,276,552,-241,151,1673,-1281,-36,1030,729,350,2220,-1252,-729,-542,-298,-471,247,852,663,1338,-2836,670,585,-222,-358,-1427,-83,-59
マクフィ,-256,-583,-176,-329,-448,-322,251,-1262,-252,-14,-386,337,524,-1250,-476,35,237,-135,510,-944,128,-1525,-297,717,-5,-1344,43,-33,495,-1588
マジェスティックウォリアー,-252,396,-571,197,49,-489,87,339,18,-304,-115,-455,25,-324,-36,-141,930,-273,-554,1599,-70,-1942,1761,-53,-662,258,314,-68,-705,229
マテラスカイ,131,-432,,108,-551,,-1215,580,-236,24,-426,-866,-509,1302,94,-188,425,-79,,-130,-125,-202,24,,-261,,,,69,586
ミスターメロディ,10,-949,-236,691,-1707,-236,-686,58,-311,-144,274,-904,-76,-50,598,565,-1017,-72,-240,-770,-659,2,-366,291,-1255,1134,,,794,-992
ミスチヴィアスアレックス,-462,2237,,2186,-98,,2547,-106,73,-194,-630,906,1282,-598,307,845,865,-59,1289,451,2419,-197,230,-157,2171,,,,124,-8
ミッキーアイル,2567,-209,-224,1555,194,54,1407,982,-267,104,355,-388,-7,107,1909,489,-1069,1094,98,-16,-735,518,1971,268,524,770,629,-678,1980,1409
ミッキーグローリー,44,246,,619,-168,131,918,-666,-157,78,855,553,824,-447,-44,-238,-151,-157,198,-175,-73,281,-32,,-9,-51,476,,801,322
ミッキーロケット,617,-160,,211,580,-152,-417,834,-124,-79,-346,-105,54,968,-217,100,20,313,253,-582,125,119,370,281,95,-106,1238,-874,-278,741
モーニン,-479,2334,,932,1025,-91,-276,1887,-59,107,-58,-140,-415,-776,450,1577,471,335,-79,333,-244,971,1868,-242,276,1159,889,,487,727
モーリス,-1842,-2595,-74,-2479,-1321,-677,24,-4301,-184,-790,-263,-521,1446,-2090,-1148,288,-908,-220,-213,-499,273,-707,-2563,-1047,137,-1490,-1526,-1986,-598,451
モズアスコット,3755,3010,-79,3566,3044,-236,4784,1792,499,-81,-675,2442,963,1264,1460,525,-1141,572,547,1412,1716,3811,-700,999,2846,2625,,,2534,-1692
ヤマカツエース,128,-260,-165,61,-260,-250,238,-417,-19,-203,-111,230,-54,136,-127,-332,65,-333,-150,-217,-379,130,-246,-333,144,-205,134,-554,-79,-98
ラニ,-324,995,-79,252,520,-34,-192,1069,-112,69,314,-141,5,417,-191,50,75,284,-79,281,66,14,556,-24,30,404,130,370,199,579
ラブリーデイ,1132,-1225,17,55,-343,-206,16,-545,76,-409,310,409,-408,-179,221,18,-622,-230,86,-880,833,52,-1098,-650,19,131,-151,-968,-440,-410
リアルインパクト,29,-967,-230,-163,-562,-499,-575,-248,34,109,-157,-376,-465,-280,119,-137,-18,5,-37,-316,-167,209,-646,-1005,-120,955,-1334,-942,796,-108
リアルスティール,1603,893,-513,967,1692,-650,712,1651,351,-146,88,-442,958,339,47,-826,935,810,399,-1072,438,1582,331,-290,211,3343,-1011,-2289,869,-1695
リーチザクラウン,49,-312,-462,-52,-102,-669,-238,49,-55,0,-17,89,-404,213,-89,343,-96,-328,-12,185,25,-304,-369,-37,-99,28,19,-587,-89,-64
リオンディーズ,-1403,183,4,-878,-343,8,-1995,999,213,-70,-69,-416,-1186,659,-508,31,240,-70,101,619,35,-2276,61,922,304,-2090,1115,-1511,638,-1725
ルヴァンスレーヴ,1921,9332,,2153,7661,694,2664,8101,954,-706,1684,-648,1980,2709,1553,1841,1570,-97,-135,3715,3782,-185,5699,-203,2163,8529,,,2073,3010
ルーラーシップ,-1112,-1150,-219,849,-4162,363,-1256,-959,-123,-785,-471,-461,-713,-93,-523,446,439,-425,-417,-1220,-411,638,-2528,-94,-187,-87,-662,-1793,556,-744
レイデオロ,3468,-1287,-271,1962,348,208,2741,-234,-70,127,684,1529,1404,38,-486,-827,586,-572,484,-796,-731,2847,49,225,1776,-699,546,,2070,151
レインボーライン,-814,480,0,-221,401,-67,2,313,0,0,76,-24,-170,8,70,-37,-315,-27,198,1596,-19,587,-1338,-157,0,739,-308,-472,15,710
レッドファルクス,-1189,1550,-251,-131,422,-99,241,164,6,2,434,259,-230,782,101,-307,83,-265,-557,229,221,231,117,-407,110,6,-221,647,72,1635
