場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
東京,11,14,ヨカオウ,岩田康誠,42.0,459.0,36.0,-156.0,-327.0,,54.0,7.0
東京,11,15,ノーブルサヴェージ,レーン　,-713.0,-48.0,86.0,237.0,-634.0,,-1072.0,10.0
東京,11,16,ゴーイントゥスカイ,武豊　　,-91.0,303.0,-2039.0,-154.0,-249.0,,-2230.0,14.0
東京,11,17,シャドウマスター,北村友一,-666.0,-638.0,571.0,281.0,-1277.0,,-1729.0,13.0
東京,11,18,ケントン,木幡巧也,1252.0,-25.0,-640.0,-649.0,1522.0,,1460.0,3.0
東京,12,1,エーデル,北村友一,-666.0,-5.0,198.0,-253.0,-1277.0,-564.0,-2567.0,8.0
東京,12,2,ホウキボシ,レーン　,-713.0,-732.0,-502.0,-267.0,-634.0,354.0,-2494.0,7.0
東京,12,3,ディーズゴールド,ルメール,1134.0,553.0,-108.0,45.0,1062.0,40.0,2726.0,2.0
東京,12,4,キョウエイフロイデ,川田将雅,217.0,1157.0,161.0,-46.0,798.0,137.0,2424.0,3.0
東京,12,5,タマモカンパネラ,横山武史,-2171.0,-2194.0,-2781.0,-1275.0,-2164.0,-952.0,-11537.0,13.0
東京,12,6,アースイオス,小林凌大,-531.0,-498.0,-58.0,-546.0,-1013.0,-526.0,-3172.0,11.0
東京,12,7,バロンドール,横山典弘,160.0,-805.0,969.0,-657.0,575.0,447.0,689.0,5.0
東京,12,8,バルダンツァ,永島まな,87.0,-1940.0,-3116.0,-2446.0,-2458.0,-855.0,-10728.0,12.0
東京,12,9,スーパージョック,三浦皇成,1081.0,348.0,1764.0,996.0,171.0,1642.0,6002.0,1.0
東京,12,10,テンクウジョー,佐々木大,-1372.0,344.0,-1647.0,1158.0,-834.0,-470.0,-2821.0,9.0
東京,12,11,ピコニ,木幡巧也,1252.0,-1476.0,473.0,875.0,1522.0,-1554.0,1092.0,4.0
東京,12,12,クレイヴィンオナー,岩田康誠,42.0,237.0,-51.0,-1436.0,-327.0,-217.0,-1752.0,6.0
東京,12,13,コーカサスゴールド,武豊　　,-91.0,-789.0,-310.0,-1193.0,-249.0,-306.0,-2938.0,10.0
京都,1,1,チュウワヘネシー,加藤祥太,-959.0,541.0,373.0,-307.0,-7.0,245.0,-114.0,13.0
京都,1,2,グランドフィナーレ,菱田裕二,-756.0,-589.0,1730.0,-138.0,283.0,-599.0,-69.0,12.0
京都,1,3,オオアバレ,団野大成,-548.0,-810.0,3031.0,1942.0,1582.0,1129.0,6326.0,6.0
