調教師名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞,2歳,3歳,4歳,5歳以上,休明初戦,休明2走,休明3走,連闘
田中剛　,168,820,-57,247,1122,-80,8,1035,131,596,443,-72,179,266,-340,380,0,-47,507,375,-560,1210,189,-54,-33,-151,2070,139,-522,1000,-466,-245,-42
田中博康,-787,112,78,-369,-94,-59,-622,-16,86,-75,101,-438,-142,73,-25,-192,63,-109,-418,-32,-309,-148,57,-40,180,-316,152,-28,-344,-601,182,274,-34
谷潔　　,-633,1748,-11,1249,-55,-80,155,804,-396,-157,111,-78,-11,6,155,1177,146,47,-535,107,702,-381,638,83,-27,925,-474,335,-362,450,-609,240,-212
田村康仁,-573,-584,-219,30,-1080,-233,-169,-1042,-257,424,-437,-582,-229,-927,953,-24,0,-62,21,226,339,-267,-1367,-27,6,14,-326,-570,-800,-1591,-292,-24,-21
千田輝彦,2567,1742,0,2724,1519,-116,1290,2595,51,189,-47,692,139,252,574,2554,87,247,753,294,1957,1193,1269,310,-382,1557,1224,627,588,936,741,194,339
千葉直人,938,-38,-40,1811,-1175,27,2354,-1051,-788,-394,-680,147,1656,320,273,-79,,,252,506,574,1414,-2236,-394,-158,588,422,221,-652,-566,53,50,-315
茶木太樹,-1437,441,-87,-275,-709,-71,-224,-693,-6,27,-127,-114,67,67,-113,-624,-69,-231,-489,-181,80,223,-570,-6,20,116,-404,-464,-374,-386,-563,-105,11
辻哲英　,1651,-129,108,572,1065,268,1036,683,-688,90,74,36,1266,1211,-262,-236,-122,-484,445,82,405,505,955,63,31,553,404,-721,1610,676,-89,-341,-52
辻野泰之,1018,405,75,913,424,109,474,890,119,-86,236,-52,-19,-268,469,-371,294,588,754,-263,404,787,209,211,-3,-173,768,874,123,406,-505,120,-128
土田稔　,-804,-2924,-271,-2647,-1075,-331,-2344,-1331,-645,-45,-470,-988,-1424,-1087,-528,-102,0,400,-88,-631,-616,-2629,-780,-28,-158,-1536,-1508,-67,-1226,-562,-781,-356,490
角田晃一,561,371,664,67,975,755,896,59,-5,-223,364,516,284,-192,531,-714,-234,889,159,-136,224,488,660,394,-65,-141,1151,238,199,623,978,-59,-28
手塚貴久,1523,-673,-79,546,492,-414,490,353,-111,277,-28,-288,590,392,22,-378,-26,154,551,127,-72,824,-439,-100,83,804,138,-457,-584,321,139,346,-220
寺島良　,-1676,-711,-92,-1076,-1606,218,-661,-1543,-41,97,-260,-637,209,-373,-419,-45,-610,291,-345,-229,-362,-480,-1042,-656,-340,-578,-164,-626,-1579,-722,-159,61,-122
天間昭一,-462,-1845,95,-1327,-484,16,-1799,-1438,-321,236,-234,-278,-519,-796,-430,-248,59,559,-62,215,-1159,-250,-676,297,-79,160,-1349,20,-449,-417,595,-439,-319
戸田博文,408,-353,-29,762,-1005,142,99,-115,-68,0,-543,410,193,550,-437,-156,0,-448,142,131,-107,963,-457,-842,-86,209,496,157,-1744,-575,453,-539,-77
友道康夫,430,-414,0,-19,-89,88,623,-794,212,30,-158,406,171,-2,80,-1555,-72,275,-207,-149,15,-188,-586,464,319,170,-590,-302,1533,277,-543,569,-65
中内田充,-768,23,37,-288,-191,-235,211,-1077,-3,183,35,-16,2,-178,208,-1138,-87,-96,-194,-141,79,-303,-80,-165,-39,-22,34,-366,-487,-119,-363,-158,
中尾秀正,318,603,-15,783,153,-21,-157,1064,-200,353,-22,544,-244,-31,-381,-155,252,180,539,652,369,-210,942,-90,-77,456,320,650,-757,320,-486,866,5
中川公成,-717,351,-144,904,-1141,-158,657,-1144,-200,-385,-411,125,308,-483,384,149,0,-85,-342,913,-604,-72,82,-218,-97,-1033,398,-162,111,135,-86,347,-19
中竹和也,2365,-161,-24,394,1073,-533,620,1491,263,-29,83,243,370,-120,-217,30,377,360,360,78,225,949,536,636,-287,619,419,1035,27,389,-248,686,522
中舘英二,-1200,607,-158,-353,-137,-79,-534,-76,-216,-203,-138,276,-493,706,-386,-552,-200,113,-228,-297,-222,-320,15,-36,22,159,-1411,148,454,-246,513,-419,-236
中村直也,-417,-226,222,-1556,1871,94,-41,-502,359,-394,-46,329,-225,-89,-205,-33,223,-523,-369,610,-430,845,223,-750,45,214,-146,-553,-200,-340,-182,174,481
西園翔太,444,997,-216,431,1276,-297,637,858,43,704,406,689,-29,-49,-64,-859,153,384,312,607,-308,182,1699,-505,-158,-928,889,572,894,121,-279,585,688
西園正都,-807,2145,0,502,797,-49,691,377,-27,327,-144,-104,81,229,757,962,-132,161,-79,299,75,-415,1167,360,63,-96,446,56,1007,126,125,243,-129
西田雄一,-1989,536,23,252,-750,-170,-733,-65,-164,120,-519,-26,-894,635,-226,-236,0,39,-57,773,281,739,-1556,20,,850,-801,-45,-647,354,-503,-551,-176
西村真幸,-134,-1361,-88,-318,-578,-498,-423,-884,-115,-163,-25,-360,-60,251,-56,829,-452,-100,395,-85,-351,-253,-1152,433,324,203,-1426,-317,112,662,-998,-109,-242
根本康広,-677,1364,-69,-516,597,313,-103,755,-460,-450,870,525,-471,687,-291,-154,63,-152,-353,827,259,1169,-732,-62,-394,-166,639,72,-227,242,-125,-107,-66
野中賢二,-290,28,11,-832,279,270,-836,686,35,-221,331,-272,-329,518,-320,-710,24,482,207,-293,193,-335,-205,224,189,-390,-237,236,434,-137,-654,522,10
萩原清　,-683,382,12,-736,533,76,-487,229,57,-48,41,-517,-48,203,51,-72,-45,22,-106,345,-21,614,-215,-392,-360,8,236,-323,-165,-413,-204,81,-45
橋口慎介,-714,-110,0,-1061,-5,-33,-445,-489,94,-42,-26,-108,-280,-20,-113,-1302,60,-47,-188,-210,-409,128,20,-125,-29,-197,-202,268,-936,119,-311,44,158
長谷川浩,1557,-1062,-160,934,-590,-105,-304,425,-164,-163,178,-20,-190,327,-77,-196,-5,227,-157,70,357,-543,242,497,262,556,-231,834,-1009,-353,-159,41,-22
畠山吉宏,-901,314,-488,-1056,609,-606,-366,-356,-210,-209,-429,456,-842,246,-169,329,95,-340,-289,-463,-143,-212,-555,101,-133,-538,-297,446,-389,-1274,-113,-39,-194
畑端省吾,-1328,1507,-125,229,691,-342,-709,1776,-219,-106,-131,301,-256,77,-722,1061,306,462,-68,144,-266,930,57,324,0,96,268,433,-619,-399,149,533,344
羽月友彦,-187,-40,0,-476,231,259,-52,-28,129,226,564,-312,-113,-183,232,1052,-513,-309,-452,-304,-491,59,300,-39,-45,-525,-233,1058,-502,-621,182,-512,573
