場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
東京,7,2,キューティリップ,リアルスティール,114.0,102.0,105.0,110.0,103.0,110.0,,,107.333,1.0
東京,7,3,トロピカルティー,リアルスティール,114.0,102.0,105.0,88.0,103.0,110.0,95.0,,102.429,7.0
東京,7,4,デルマジュテーム,ノヴェリスト,102.0,114.0,105.0,94.0,101.0,95.0,,,101.833,8.0
東京,7,5,ニシノエピカリ,フィエールマン,97.0,21.0,111.0,114.0,122.0,102.0,,,94.5,10.0
東京,7,6,リポサンテ,ブリックスアンドモルタル,108.0,116.0,104.0,103.0,104.0,108.0,,,107.167,2.0
東京,7,7,サラスヴァティー,レイデオロ,107.0,99.0,96.0,89.0,95.0,108.0,,,99.0,9.0
東京,7,8,エポナ,キズナ,106.0,105.0,105.0,104.0,105.0,103.0,,,104.667,6.0
東京,7,9,オプレントジュエル,ブリックスアンドモルタル,108.0,116.0,104.0,103.0,104.0,108.0,,,107.167,2.0
東京,7,10,アビッサルスター,イスラボニータ,115.0,100.0,113.0,103.0,94.0,107.0,115.0,,106.714,4.0
東京,8,1,アーチーテソーロ,フィエールマン,97.0,21.0,118.0,107.0,122.0,102.0,,,94.5,14.0
東京,8,2,ジェイエルマスター,デクラレーションオブウォー,102.0,97.0,96.0,102.0,105.0,99.0,,,100.167,6.0
東京,8,3,ヒロピアーナ,リアルインパクト,106.0,99.0,99.0,86.0,103.0,101.0,,,99.0,9.0
東京,8,4,マリンバンカー,エスケンデレヤ,105.0,114.0,112.0,117.0,88.0,93.0,116.0,,106.429,1.0
東京,8,5,スパークインザアイ,ルーラーシップ,103.0,96.0,99.0,97.0,107.0,100.0,107.0,,101.286,5.0
東京,8,6,ユニヴェール,カリフォルニアクローム,119.0,106.0,105.0,21.0,107.0,95.0,,,92.167,15.0
東京,8,7,ファンタイムギフト,ドレフォン,106.0,105.0,107.0,105.0,103.0,105.0,,,105.167,2.0
東京,8,8,ソニックライン,リアルインパクト,106.0,99.0,99.0,92.0,103.0,101.0,,,100.0,7.0
東京,8,9,リーゼントジェイド,シャンハイボビー,87.0,94.0,101.0,97.0,101.0,87.0,131.0,,99.714,8.0
東京,8,10,ブラーブデシジョン,マクフィ,102.0,100.0,99.0,93.0,98.0,98.0,,,98.333,11.0
東京,8,11,クニノハッピー,ヘニーヒューズ,106.0,100.0,103.0,103.0,101.0,103.0,113.0,,104.143,4.0
東京,8,12,ヴォンフレ,ブラックタイド,85.0,94.0,109.0,101.0,94.0,95.0,99.0,,96.714,13.0
東京,8,13,エドワードバローズ,ナダル,94.0,103.0,112.0,89.0,92.0,104.0,,,99.0,9.0
東京,8,14,レッドルイナール,ブリックスアンドモルタル,108.0,116.0,94.0,103.0,100.0,108.0,103.0,,104.571,3.0
東京,8,15,ロードソルスティス,サートゥルナーリア,113.0,65.0,116.0,105.0,98.0,88.0,,,97.5,12.0
東京,8,16,ロジリッキー,コパノリッキー,91.0,92.0,94.0,91.0,91.0,92.0,,,91.833,16.0
東京,9,1,ラブリージャブリー,ラブリーデイ,84.0,90.0,108.0,98.0,103.0,98.0,100.0,,97.286,6.0
東京,9,2,アルゲンテウス,シルバーステート,81.0,96.0,104.0,100.0,97.0,95.0,96.0,,95.571,8.0
東京,9,3,アヴニールドブリエ,エピファネイア,99.0,88.0,97.0,81.0,97.0,99.0,,,93.5,11.0
東京,9,4,ミラーダカリエンテ,スクリーンヒーロー,103.0,110.0,109.0,115.0,102.0,103.0,,,107.0,1.0
東京,9,5,ドリームクルーズ,エピファネイア,99.0,88.0,97.0,91.0,97.0,99.0,,,95.167,9.0
東京,9,6,サトノヴィレ,デクラレーションオブウォー,102.0,97.0,103.0,97.0,95.0,99.0,93.0,,98.0,5.0
東京,9,7,マテンロウブラボー,モーリス,103.0,95.0,99.0,94.0,99.0,96.0,101.0,,98.143,4.0
東京,9,8,エバーグルーヴ,ドゥラメンテ,95.0,96.0,99.0,98.0,98.0,95.0,,,96.833,7.0
東京,9,9,ジッピーレーサー,City Zip,,,,,,,,,,
東京,9,10,コスモアンソロジー,ダノンバラード,119.0,97.0,107.0,98.0,104.0,115.0,,,106.667,3.0
東京,9,11,バードウォッチャー,ブラックタイド,85.0,94.0,93.0,92.0,103.0,95.0,99.0,,94.429,10.0
東京,9,12,イサチルカゼニタツ,ディスクリートキャット,101.0,103.0,119.0,101.0,93.0,104.0,127.0,,106.857,2.0
東京,10,1,シンバーシア,ロードカナロア,101.0,99.0,98.0,104.0,102.0,102.0,,,101.0,5.0
東京,10,2,レッドシュヴェルト,レッドファルクス,90.0,111.0,86.0,99.0,107.0,81.0,,,95.667,10.0
東京,10,3,サトミノキラリ,ビッグアーサー,93.0,103.0,100.0,95.0,96.0,91.0,,,96.333,9.0
東京,10,4,ジュノー,Dark Angel,33.0,102.0,115.0,130.0,114.0,106.0,,,100.0,6.0
東京,10,5,シュヴェルトライテ,マツリダゴッホ,,,,,,,,,,
東京,10,6,ヴェサリウス,ロゴタイプ,71.0,108.0,94.0,115.0,87.0,93.0,,,94.667,12.0
東京,10,7,スカイハイ,キタサンブラック,107.0,103.0,99.0,105.0,104.0,98.0,,,102.667,3.0
東京,10,8,アームテイル,ダノンバラード,119.0,97.0,107.0,93.0,110.0,115.0,110.0,,107.286,1.0
東京,10,9,ランドオブラヴ,ミッキーアイル,101.0,104.0,107.0,101.0,102.0,100.0,99.0,,102.0,4.0
東京,10,10,ペリファーニア,モーリス,103.0,95.0,99.0,92.0,97.0,96.0,,,97.0,7.0
東京,10,11,エリーズダイヤ,ハーツクライ,93.0,96.0,93.0,95.0,96.0,95.0,101.0,,95.571,11.0
東京,10,12,コト,キズナ,106.0,105.0,105.0,103.0,99.0,103.0,,,103.5,2.0
東京,10,13,ユハンヌス,Frankel,78.0,94.0,105.0,81.0,94.0,102.0,107.0,,94.429,13.0
東京,10,14,オーサムストローク,エピファネイア,99.0,88.0,97.0,91.0,92.0,99.0,88.0,,93.429,14.0
東京,10,15,レディマリオン,ハービンジャー,92.0,97.0,101.0,100.0,102.0,89.0,,,96.833,8.0
東京,11,1,ウェットシーズン,Mendelssohn,127.0,123.0,107.0,110.0,115.0,,,,116.4,2.0
東京,11,2,テイエムリステット,モーリス,103.0,96.0,93.0,94.0,97.0,96.0,101.0,,97.143,11.0
東京,11,3,エルゲルージ,ドゥラメンテ,95.0,93.0,95.0,89.0,91.0,95.0,96.0,,93.429,13.0
東京,11,4,ロードフォンス,ロードカナロア,101.0,113.0,100.0,102.0,102.0,102.0,,,103.333,7.0
東京,11,5,キタノリューオー,ジョーカプチーノ,92.0,141.0,103.0,124.0,97.0,93.0,105.0,,107.857,4.0
東京,11,6,ダノンザボルケーノ,キタサンブラック,107.0,96.0,105.0,105.0,104.0,98.0,,,102.5,9.0
東京,11,7,オメガギネス,ロゴタイプ,71.0,146.0,98.0,81.0,87.0,93.0,100.0,,96.571,12.0
東京,11,8,サトノルフィアン,ゼンノロブロイ,53.0,76.0,89.0,87.0,104.0,65.0,85.0,,79.857,16.0
東京,11,9,ニシキギミッチー,ヘニーヒューズ,106.0,101.0,103.0,98.0,101.0,103.0,101.0,,101.857,10.0
東京,11,10,バトゥーキ,ラニ,109.0,137.0,115.0,160.0,115.0,104.0,,,123.333,1.0
東京,11,11,アッチャゴーラ,マインドユアビスケッツ,122.0,163.0,93.0,102.0,104.0,96.0,,,113.333,3.0
東京,11,12,ユティタム,Justify,94.0,83.0,93.0,90.0,94.0,87.0,,,90.167,14.0
東京,11,13,サルヴァトーレ,キズナ,106.0,108.0,101.0,105.0,99.0,103.0,,,103.667,6.0
東京,11,14,マテンロウコマンド,ドレフォン,106.0,109.0,107.0,105.0,103.0,105.0,106.0,,105.857,5.0
東京,11,15,レディントン,サトノアラジン,69.0,73.0,95.0,110.0,99.0,91.0,92.0,,89.857,15.0
東京,11,16,タガノエスコート,ロードカナロア,101.0,113.0,100.0,102.0,102.0,102.0,,,103.333,7.0
東京,12,1,フウセツ,サンダースノー,77.0,117.0,116.0,115.0,114.0,96.0,,,105.833,3.0
東京,12,2,ピックアップライン,ロゴタイプ,71.0,108.0,98.0,81.0,87.0,93.0,,,89.667,16.0
