場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
阪神,7,16,サイモンイロハニー,102.6,3.0,100.571,9.0,100.5,7.0,303.671,101.224,4.0
阪神,8,1,レッドベルアーム,114.4,1.0,94.571,11.0,119.333,2.0,328.304,109.435,2.0
阪神,8,2,トーセントラム,104.2,4.0,,,109.571,4.0,,,
阪神,8,3,スイートフェアリー,108.8,2.0,103.857,5.0,110.667,3.0,323.32399999999996,107.775,4.0
阪神,8,4,チェルノボーグ,98.6,8.0,97.5,9.0,95.0,10.0,291.1,97.033,10.0
阪神,8,5,スライビングロード,104.6,3.0,96.167,10.0,124.143,1.0,324.90999999999997,108.303,3.0
阪神,8,6,テラメリタ,102.4,6.0,104.0,4.0,100.0,7.0,306.4,102.133,6.0
阪神,8,7,クスクス,98.6,8.0,91.5,12.0,97.571,9.0,287.671,95.89,11.0
阪神,8,8,バレルターン,,,101.143,6.0,92.143,12.0,,,
阪神,8,9,エイムフォーエース,101.8,7.0,100.571,7.0,101.833,5.0,304.20399999999995,101.401,7.0
阪神,8,10,リカントロポ,102.6,5.0,113.143,2.0,92.833,11.0,308.576,102.859,5.0
阪神,8,11,カツラノキサノキ,98.2,10.0,99.143,8.0,98.571,8.0,295.914,98.638,9.0
阪神,8,12,ミストレス,90.8,11.0,105.857,3.0,100.429,6.0,297.086,99.029,8.0
阪神,8,13,エイヨーアメジスト,86.4,12.0,167.6,1.0,90.667,13.0,344.66700000000003,114.889,1.0
阪神,9,1,ナムラドロン,104.2,2.0,,,98.5,6.0,,,
阪神,9,2,ペルセア,98.8,5.0,103.667,3.0,106.429,3.0,308.89599999999996,102.965,3.0
阪神,9,3,キーンセンス,105.2,1.0,,,106.833,2.0,,,
阪神,9,4,ローズカリス,103.6,3.0,101.571,4.0,101.0,4.0,306.171,102.057,4.0
阪神,9,5,エブリデイ,95.8,7.0,182.0,1.0,108.667,1.0,386.467,128.822,1.0
阪神,9,6,シュテフィ,98.8,5.0,97.8,5.0,92.833,8.0,289.433,96.478,5.0
阪神,9,7,テーオーグレーザー,91.4,8.0,,,100.0,5.0,,,
阪神,9,8,セイカミナミホリエ,101.4,4.0,122.429,2.0,95.429,7.0,319.25800000000004,106.419,2.0
阪神,10,1,ルーフ,101.6,7.0,96.5,14.0,101.5,6.0,299.6,99.867,11.0
阪神,10,2,ヤマニンアストロン,97.4,12.0,106.429,4.0,96.571,12.0,300.4,100.133,10.0
阪神,10,3,バンドシェル,103.6,3.0,114.5,2.0,94.333,13.0,312.433,104.144,3.0
阪神,10,4,セシリエプラージュ,104.6,1.0,104.0,6.0,98.143,11.0,306.743,102.248,5.0
阪神,10,5,ベンダバリラビア,102.8,5.0,108.429,3.0,87.833,15.0,299.062,99.687,12.0
阪神,10,6,モンシュマン,103.6,3.0,103.833,7.0,109.167,3.0,316.6,105.533,2.0
阪神,10,7,ミルテンベルク,97.4,12.0,96.333,15.0,102.833,5.0,296.56600000000003,98.855,13.0
阪神,10,8,コナブラック,100.8,8.0,104.429,5.0,101.429,7.0,306.658,102.219,6.0
阪神,10,9,レッドエヴァンス,,,99.333,11.0,,,,,
阪神,10,10,エコロマーズ,104.4,2.0,97.333,13.0,108.667,4.0,310.4,103.467,4.0
阪神,10,11,シュタールヴィント,98.6,10.0,100.857,10.0,101.167,8.0,300.624,100.208,9.0
阪神,10,12,デイトナモード,92.8,14.0,101.5,8.0,110.571,2.0,304.871,101.624,7.0
阪神,10,13,ルミノメテオール,98.2,11.0,90.286,16.0,94.143,14.0,282.629,94.21,15.0
阪神,10,14,ロードトレイル,86.4,15.0,99.333,11.0,100.333,9.0,286.06600000000003,95.355,14.0
阪神,10,15,ニシノコウダイ,102.6,6.0,101.5,8.0,99.0,10.0,303.1,101.033,8.0
阪神,10,16,ジャスパーノワール,99.8,9.0,133.667,1.0,110.857,1.0,344.32399999999996,114.775,1.0
阪神,11,1,ルクスフロンティア,98.8,11.0,92.0,13.0,107.833,1.0,298.63300000000004,99.544,8.0
阪神,11,2,グーデンドラーク,138.0,1.0,92.714,12.0,107.0,2.0,337.714,112.571,2.0
阪神,11,3,ジューンアヲニヨシ,101.4,8.0,106.714,3.0,97.429,10.0,305.543,101.848,5.0
阪神,11,4,メイプルリッジ,,,103.286,9.0,98.714,8.0,,,
阪神,11,5,ラインオブソウル,105.0,4.0,113.143,2.0,,,,,
阪神,11,6,テーオーパスワード,100.2,9.0,98.571,10.0,102.571,4.0,301.342,100.447,6.0
阪神,11,7,ジンセイ,103.0,7.0,104.714,7.0,98.857,7.0,306.571,102.19,4.0
阪神,11,8,サイモンザナドゥ,95.4,12.0,104.571,8.0,96.714,11.0,296.685,98.895,9.0
阪神,11,9,エナハツホ,106.2,2.0,135.429,1.0,97.714,9.0,339.343,113.114,1.0
阪神,11,10,タイセイドレフォン,93.2,13.0,106.286,5.0,101.5,5.0,300.986,100.329,7.0
阪神,11,11,ブライアンセンス,99.6,10.0,93.857,11.0,103.167,3.0,296.624,98.875,10.0
阪神,11,12,ホウオウプロサンゲ,104.0,5.0,105.167,6.0,99.857,6.0,309.024,103.008,3.0
阪神,11,13,ホウオウルーレット,105.2,3.0,90.714,14.0,96.571,12.0,292.485,97.495,12.0
阪神,11,14,タイトニット,103.6,6.0,106.714,3.0,86.0,13.0,296.31399999999996,98.771,11.0
阪神,12,1,ジャスパーバローズ,98.8,11.0,95.143,14.0,99.571,9.0,293.514,97.838,11.0
阪神,12,2,サドル,103.0,7.0,94.333,16.0,99.667,8.0,297.0,99.0,9.0
阪神,12,3,ランウインディ,92.0,12.0,106.667,2.0,108.0,1.0,306.66700000000003,102.222,4.0
阪神,12,4,フォルテローザ,105.6,2.0,102.0,6.0,97.333,10.0,304.933,101.644,5.0
阪神,12,5,クロドラバール,108.0,1.0,99.667,8.0,105.667,3.0,313.334,104.445,2.0
阪神,12,6,シリウス,89.4,14.0,115.0,1.0,,,,,
阪神,12,7,フィドルファドル,105.2,5.0,99.5,10.0,102.833,5.0,307.533,102.511,3.0
阪神,12,8,キャッスルレイク,88.4,15.0,95.5,13.0,93.0,13.0,276.9,92.3,13.0
阪神,12,9,ペプチドクレマチス,103.0,7.0,94.833,15.0,104.143,4.0,301.976,100.659,7.0
阪神,12,10,エンプレスペイ,,,106.0,3.0,100.714,6.0,,,
阪神,12,11,フォルティーナ,104.2,6.0,100.5,7.0,92.833,14.0,297.533,99.178,8.0
阪神,12,12,ヒルノピレネー,102.6,9.0,104.571,4.0,107.143,2.0,314.31399999999996,104.771,1.0
阪神,12,13,スペシャルナンバー,102.2,10.0,99.5,10.0,94.286,12.0,295.986,98.662,10.0
阪神,12,14,サクラトップヒル,105.4,4.0,97.333,12.0,100.0,7.0,302.733,100.911,6.0
阪神,12,15,ゼンノツキヨミ,105.6,2.0,99.667,8.0,,,,,
阪神,12,16,タカネノハナコサン,91.4,13.0,103.667,5.0,95.0,11.0,290.067,96.689,12.0
