場所,R,馬番,馬名,調教師名,調教師利益度_1,調教師利益度_2,調教師利益度_3,調教師利益度_4,調教師利益度_5,調教師利益度_6,調教師利益度_7,調教師利益度_8,調教師利益度,調教師利益度順位
東京,12,12,ノーダブルディップ,古賀慎明,129.0,513.0,629.0,191.0,372.0,341.0,91.0,,2266.0,3.0
京都,1,1,ナムラクレープ,大橋勇樹,-127.0,1534.0,2670.0,46.0,1159.0,3349.0,217.0,,8848.0,1.0
京都,1,2,ニシノオーブ,谷潔　　,-362.0,-542.0,1315.0,172.0,-201.0,411.0,-165.0,,628.0,4.0
京都,1,3,エニグマティーク,小崎憲　,-3153.0,-646.0,-396.0,-1132.0,-1812.0,-2331.0,,,-9470.0,12.0
京都,1,4,レーニス,宮徹　　,-385.0,366.0,-74.0,137.0,19.0,-704.0,,,-641.0,6.0
京都,1,5,エイミーショコラ,小椋研介,,,,,,,,,,
京都,1,6,テーオーヴァルナイ,浜田多実,-301.0,99.0,-419.0,169.0,-533.0,-1766.0,,,-2751.0,8.0
京都,1,7,レイチェルバローズ,渡辺薫彦,313.0,-593.0,-782.0,468.0,-474.0,543.0,,,-525.0,5.0
京都,1,8,フェニーチェドーロ,宮本博　,-703.0,1698.0,518.0,1082.0,-747.0,1392.0,906.0,,4146.0,3.0
京都,1,9,コパノマロン,村山明　,68.0,146.0,1288.0,749.0,633.0,1585.0,,,4469.0,2.0
京都,1,10,アイズミサクラ,牧田和弥,-1156.0,-1283.0,-1150.0,-391.0,-1908.0,-3351.0,,,-9239.0,11.0
京都,1,11,シャンパンゴールド,今野貞一,-1035.0,-1037.0,-323.0,-59.0,-985.0,-1105.0,,,-4544.0,10.0
京都,1,12,ニネンエフグミ,茶木太樹,-1330.0,130.0,1147.0,488.0,-512.0,-637.0,,,-714.0,7.0
京都,1,13,セサンパ,寺島良　,173.0,-212.0,177.0,-709.0,-866.0,-1546.0,-31.0,,-3014.0,9.0
京都,2,1,ブラゾンロワイヤル,石坂公一,2403.0,1007.0,612.0,874.0,1634.0,1570.0,-105.0,,7995.0,1.0
京都,2,2,アールオブケント,新谷功一,-429.0,-530.0,30.0,-464.0,172.0,-795.0,,,-2016.0,10.0
京都,2,3,ロードトルネード,辻野泰之,1118.0,1052.0,90.0,-124.0,913.0,1654.0,,,4703.0,3.0
京都,2,4,サヨノミッキー,羽月友彦,-1089.0,-406.0,-103.0,-1057.0,368.0,-1347.0,,,-3634.0,11.0
京都,2,5,クリノラピダス,谷潔　　,-362.0,-542.0,1315.0,172.0,982.0,411.0,,,1976.0,7.0
京都,2,6,エンジョイドライブ,鮫島一歩,750.0,954.0,366.0,264.0,706.0,954.0,,,3994.0,4.0
京都,2,7,スーパージョック,佐々木晶,-1025.0,416.0,1082.0,478.0,415.0,1441.0,,,2807.0,5.0
京都,2,8,ダイシンレアレア,高橋一哉,,,,,,,,,,
京都,2,9,ウォーターエルピス,藤野健太,,,,,,,,,,
京都,2,10,キタノボンボヤージ,吉田直弘,-310.0,-189.0,1051.0,-135.0,363.0,726.0,,,1506.0,8.0
京都,2,11,サルタール,小崎憲　,-3153.0,-646.0,-396.0,-1132.0,241.0,-2331.0,,,-7417.0,12.0
京都,2,12,ボルダーオパール,茶木太樹,-1330.0,130.0,1147.0,488.0,-127.0,-637.0,,,-329.0,9.0
京都,2,13,アイヅワカマツ,安達昭夫,3941.0,-367.0,1209.0,-426.0,282.0,539.0,,,5178.0,2.0
京都,2,14,スピントロニクス,池江泰寿,1714.0,338.0,308.0,-208.0,78.0,526.0,,,2756.0,6.0
京都,3,1,ネオクイーン,藤原英昭,-1676.0,-157.0,-1692.0,-418.0,-1174.0,-1906.0,,,-7023.0,11.0
京都,3,2,マナミン,高橋康之,-248.0,-980.0,1511.0,-950.0,169.0,-1485.0,,,-1983.0,9.0
京都,3,3,パーティハーン,友道康夫,-280.0,-473.0,716.0,405.0,66.0,31.0,,,465.0,3.0
京都,3,4,プレデスティナーレ,北出成人,-1128.0,615.0,1781.0,-26.0,-298.0,1628.0,,,2572.0,2.0
京都,3,5,ロードステイタス,四位洋文,-656.0,-420.0,401.0,63.0,-442.0,478.0,,,-576.0,5.0
