場所,R,馬番,人気,単オッズ,複勝オッズ下,上,単勝,複勝,馬連配当,開催日,推定人気,人気ランク
中京,8,1,7.0,11.3,4.7,6.4,,,,20250105,,
中京,8,2,16.0,211.6,32.6,45.5,,,,20250105,,
中京,8,3,4.0,6.7,2.0,2.6,,,,20250105,,
中京,8,4,5.0,7.1,2.4,3.1,,290.0,,20250105,,
中京,8,5,10.0,23.5,5.1,6.9,,,,20250105,,
中京,8,6,13.0,75.5,13.7,19.0,,,,20250105,,
中京,8,7,6.0,7.8,2.2,2.8,,,,20250105,,
中京,8,8,2.0,5.6,1.9,2.4,,,,20250105,,
中京,8,9,12.0,48.8,8.5,11.7,4880.0,990.0,25580.0,20250105,,
中京,8,10,9.0,17.9,4.4,6.0,,,,20250105,,
中京,8,11,1.0,5.6,1.7,2.1,,,,20250105,,
中京,8,12,3.0,6.3,2.6,3.5,,,,20250105,,
中京,8,13,14.0,144.8,28.0,39.2,,,,20250105,,
中京,8,14,8.0,15.6,3.1,4.2,,380.0,25580.0,20250105,,
中京,8,15,15.0,176.1,25.2,35.3,,,,20250105,,
中京,8,16,11.0,47.9,10.5,14.5,,,,20250105,,
中京,9,1,8.0,88.5,8.1,17.4,,,,20250105,,
中京,9,2,1.0,1.9,1.1,1.2,,110.0,,20250105,,
中京,9,3,6.0,24.2,2.8,5.6,,280.0,2770.0,20250105,,
中京,9,4,5.0,18.2,2.1,4.0,,,,20250105,,
中京,9,5,2.0,3.2,1.2,2.0,320.0,140.0,2770.0,20250105,,
中京,9,6,11.0,259.2,20.0,43.1,,,,20250105,,
中京,9,7,7.0,40.4,4.7,9.7,,,,20250105,,
中京,9,8,4.0,17.0,2.1,4.0,,,,20250105,,
中京,9,9,10.0,131.2,12.6,27.0,,,,20250105,,
中京,9,10,9.0,110.8,8.5,18.1,,,,20250105,,
中京,9,11,3.0,4.7,1.2,2.0,,,,20250105,,
中京,10,1,8.0,27.0,4.4,6.9,,,,20250105,,
中京,10,2,12.0,63.1,8.8,14.1,,1120.0,,20250105,,
中京,10,3,4.0,11.7,2.6,3.9,,340.0,2520.0,20250105,,
中京,10,4,1.0,2.3,1.2,1.5,,,,20250105,,
中京,10,5,14.0,127.3,15.3,24.7,,,,20250105,,
